,simple,random,ppo,ddpg,sac,td3,tqc
18,-6409.629718000734,-30438.76374805356,-37223.08710625328,-3885.5904660317865,-3878.3429459321865,-3878.3429459321865,-6982.79242978549
19,-4697.414805873777,-32250.358857522966,-34074.202843552644,-3269.7868695351694,-3267.8105526360605,-3266.0587264030846,-5917.68244923745
20,-4599.597099156317,-30027.27484442299,-33728.46006281773,-3172.1874017396412,-3166.4195614315568,-3164.7818743947337,-5291.347790822884
21,-6187.011341609341,-42630.29668519011,-46936.580878533525,-5123.116504152562,-5109.104446373647,-5101.372459571289,-8274.788179172618
22,-5289.076686507811,-35689.577460244014,-38719.95550074437,-5108.616674391305,-4896.647937644242,-4890.4265962513045,-7345.091864159407
23,-4058.387178051444,-27364.41685198351,-29143.88369274763,-2945.2987277936268,-18012.189783427675,-1398.8571052031743,-4434.620399174484
24,-7527.12967171428,-33880.15285406265,-34795.36958060149,-5023.446834805309,-3417.1900315812118,-3082.2746681372973,-6572.642612647285
25,-5554.5617240878755,-34780.928989077736,-39256.87433552639,-4620.130130283924,-4609.751269597814,-4609.751269597814,-7411.040713455407
26,-32850.5280342582,-59054.38295594338,-45663.99379599788,-32957.31063142735,-32980.2105154762,-32952.06007559633,-33293.082007362755
27,-3320.4008525338522,-28891.575573003975,-30693.241389495677,-2935.9925353873973,-17999.730133816076,-2934.0925585329933,-5148.270861658289
28,-6289.147610867986,-29459.026600325687,-34339.33358443,-5688.131844326321,-3541.874863620293,-3541.874863620293,-6150.920269754462
29,-7137.4116988214255,-30718.065013168474,-33883.308143758564,-2738.2577350049637,-2738.5941543146478,-2735.731558698583,-5982.220325055396
30,-5446.684786211972,-28991.88710699082,-31580.169476380455,-6192.332645281723,-3492.635741531722,-3492.635741531722,-6360.540577200423
31,-31580.25681678686,-37512.00033857905,-32461.49685791786,-29074.388801505997,-29100.2209527654,-29066.617873121242,-29599.52837388402
32,-5286.018902923264,-36292.495854830406,-40180.668601017765,-5068.624083948556,-4892.970572285913,-4888.809487668555,-8364.574844101377
33,-5402.9838741056465,-36659.89841946709,-40670.866813896304,-4983.742778741018,-4976.741945087968,-4975.293307491018,-7684.42690421029
34,-4617.302097525405,-30866.856094753446,-33819.79311172888,-3191.351204731006,-3188.6754268975965,-3185.2100894868395,-5407.307708454918
35,-3845.789446536953,-28659.476074495706,-31186.826880436725,-3037.682065765198,-3009.412286560126,-3007.812169876541,-5764.807913756851
36,-3101.6352305993732,-29129.811534812245,-31869.225984358905,-4115.221450346551,-5805.602097266353,-3169.1744605765516,-5672.925342174563
37,-6047.098490421508,-40697.025921597175,-45419.71367806556,-5167.650081528075,-5151.503494343378,-5151.503494343378,-8066.406232333531
38,-5771.405828335163,-35287.24391465247,-37342.73483910002,-4079.646543533395,-4401.507329937241,-1918.2007452457965,-5300.750677598692
39,-33052.17086853288,-54508.09426304295,-45267.55488063861,-33168.913415155046,-33218.74980236548,-33162.69017134595,-35972.62030936628
40,-5751.384794541116,-32240.58418951439,-36365.99079446916,-2809.860805604816,-3020.474941761667,-1899.6534071097171,-5203.279173422871
41,-6446.431000028189,-34313.960429142906,-37544.86787866051,-4815.248438130423,-3591.7745556820523,-3107.044960272423,-6903.49111385319
42,-5547.966682072239,-36032.9384023906,-37542.062550318864,-4483.275841044094,-4477.133831022547,-4474.317441044094,-6828.579933045774
43,-6160.938880451991,-42139.834288975944,-47951.30184039041,-5542.3230568021145,-5067.570995493111,-5066.448671742115,-7936.183713858935
44,-5985.024323015401,-37862.18676997935,-41568.87037028874,-5395.33364826172,-5388.610937435852,-5384.929479599497,-8214.596139173673
45,-5777.77531532855,-35509.99197423198,-37373.92724144907,-4139.638322858591,-2649.601161484068,-1911.5170533866885,-4987.6084133732365
